"%s added to the exclude list","%s toegevoegd aan lijst met uitzonderingen"
"%s allready unsubscribed","%s reeds uitgeschreven"
"%s is on exclude list (%s on %s)","%s staat op de lijst met uitzonderingen (%s on %s)"
"%s not found!","%s niet gevonden!"
"%s removed from exclude list","%s verwijderd van lijst met uitzonderingen"
"%s successfully unsubscribed from service email messages","%s succesvol uitgeschreven voor nieuwsbrief"
"A new review for ""%s"" has been submitted. %s","Een nieuwe beoordeling voor ""%s"" is verstuurd. %s"
"Add Block to Order View","Voeg blok toe aan orderpagina"
"Add Notification Toolbar","Voeg notificatie werkbalk toe"
"Add Unsubscribe link","Voeg afmeld-link toe"
"Add back to que","Voeg weer toe aan rij"
"Add from que","Voeg toe vanuit rij"
"Add review to bundle parent","Voeg beoordeling toe aan bovenliggend product van bundel"
"Add review to group parent","Voeg beoordeling toe aan bovenliggend product van groep"
"Add to exclude list","Voeg toe aan lijst met uitzonderingen"
"Add to que","Voeg toe aan de rij"
"Added through admin","Toegevoegd via admin"
"Admin Settings","Admin Instellingen"
"After approved review (by email)","Na goedgekeurde beoordeling (via email)"
"After placing review (on page)","Na plaatsen van een beoordeling (op pagina)"
"Alphabetical","Alphabetische volgorde"
"Alphanumeric","Numerieke volgorde"
"Are you sure?","Weet je het zeker?"
"Ask for a general shop review in the same form by integrating the shopreview extension with the product review reminder. This way, you can let your customers write both shop reviews and product reviews in the same form. Check out our shopreview extension right <a href=""http://www.magmodules.eu/shopreview.html"" target=""_blank"">here.</a><br><br>","Vraag om een algemene winkelbeoordeling op dezelfde manier door de winkelbeoordeling extensie te integreren met een herinnering om producten te beoordelen. Op deze manier, kunt u klanten zowel winkel- als productbeoordelingen laten schrijven op hetzelfde formulier. Voor meer informatie over onze winkelbeoordeling extensie, ga naar <a href=""http://www.magmodules.eu/shopreview.html"" target=""_blank"">hier.</a><br><br>"
"At least one product review is required","Er is minimaal 1 productbeoordeling vereist"
"Check if the first and second e-mail reminders suit your needs by sending a test email. Before you hit the send button, ensure that you have saved the config after filling in a valid order number and email address.<br><br>","Kijk of de eerste en tweede e-mail herinnering aan uw eisen voldoen, door een test e-mail te sturen. Voordat u op verzenden klikt, zorgt u dan dat de instelingen opslaat na het invullen van een geldig order-nummer en e-mail adres.<br><br>"
"Choose the general configuration admin settings, different product types, cronjob, and email sender. You can select these options for each specific store view.","Kies de algemene configuratie admin instellingen, verschillende product types, cronjob, en e-mail verzender. U kan deze opties selecteren in winkelzicht niveau."
"Code","Code"
"Configuration","Configuratie"
"Coupon Code","Coupon Code"
"Coupon Description","Coupon Beschrijving"
"Coupon ID","Coupon ID"
"Coupon Intro","Coupon Introductie"
"Coupon: %s (Valid until: %s)","Coupon: %s (Geldig tot: %s)"
"Coupons","Coupons"
"Create a personal frontend page by editing the welcome text, success page text and coupon introduction. This way, you can further encourage the customer to leave a review. It’s possible to disable the visibility of the form if a customer has already written a review about your product(s). Of course, you may also set a personal message for whenever this happens.","Creëer een persoonlijke startpagina door de welkomsttekst, success pagina tekst en coupon introductie aan te passen. Op deze manier, kunt u de klant nog meer aanmoedigen om een beoordeling achter te laten. Het is mogelijk om de zichtbaarheid van het formulier te blokkeren als een klant al een beoordeling over uw product heeft geplaatst. Uiteraard, kunt u ook instellen dat er een persoonlijk bericht wordt gestuurd, wanneer dit gebeurd."
"Created At","Gemaakt bij"
"Cross sell Block","Cross sell Blok"
"Custom Review URL","Handmatige beoordeling URL"
"Customer E-Mail","E-Mail van klant"
"Customer Name","Naam van klant"
"Dash Every X Characters","Streepje elke X karakters"
"Date","Datum"
"Delete","Verwijder"
"Design","Design"
"Disable form after submit","Blokkeer formulier na verzenden"
"Disable shopreview emails","Blokkeer winkelbeoordeling e-mails"
"Display","Weergeven"
"Edit and personalize all the features within the second e-mail reminder. It is possible to disable this second e-mail if customers have already written a review through the link in the first e-mail reminder. The scheduled number of days will be from the first email.","Bewerk en personaliseer alle opties binnen de tweede e-mail herinnering. Het is mogelijk om deze tweede e-mail te blokkeren als klanten al een beoordeling hebben geschreven via de link in de eerste e-mail herinnering. Het geplande aantal dagen zal uit de eerste e-mail komen."
"Edit and personalize all the features within your first email reminder. Configure the general settings and adjust the style of the email so that it perfectly suits your brand. There are multiple blocks within the email. The alignment of these blocks is the same as in the email reminder and you may de-activate, activate or edit the blocks to suit your needs. Set the button to “Button: Review Email Page” to make use of our unique frontend review form.","Bewerk en personaliseer alle opties in de eerste herinneringsmail. Configureer de algemene instelling and stel de stijl van uw e-mail bij, zodat deze perfect bij uw merk aansluit. Er zitten meerdere blokken in de e-mail. De richtlijn van deze blokken zijn hetzelfde als de herinneringsmail, en u kan de blokken de-activeren, activeren of bewerken om ze aan te passen aan uw wensen. Zet de knop om naar “Knop: Beoordelingsmail pagina” om gebruik te maken van ons unieke beoordelingsformulier."
"Email","Email"
"Email Sender","Afzender"
"Email Subject","Email onderwerp"
"Email Template","Email template"
"Email and Cron","Email and Cron"
"Email subject","Email onderwerp"
"Enable","Activeer"
"Enabled","Activeer"
"Exclude List","Uitzonderingen lijst"
"Expiration Date","Vervaldatum
"Extend by 14 days","Verleng met 14 dagen"
"First Email","Eerste Email"
"Footer Block","Voettekst blokeren"
"Force one coupon","Forceer 1 coupon"
"Frontend Form","Frontend Form"
"General","Algemeen"
"Generate coupon","Genereer coupon"
"Header Color","Kleur kop"
"Headertext Color","Kleur kop tekst"
"Hi',"Hallo"
"Id","Id"
"Item Manager","Item Manager"
"Items Manager","Voorwerp beheer"
"Licence',"Licentie"
"License Key","Licencie sleutel"
"Link bundle to parent","Link naar bovenliggend product van de bundel"
"Link group to parent","Link naar bovenliggend product van de groep"
"Magmodules","Magmodules"
"Maximum Days old","Maximale dagen oud"
"Minimum of 1 product review","Minimum van 1 productbeoordeling"
"Nickname","Bijnaam"
"No","Nee"
"No order was found with id: %s!","Er is geen bestelling gevonden met het id: %s!"
"No ordernumber was specified, save this first!","Er is geen bestelnummer gespecificeerd, sla deze eerst op!"
"Not Needed","Niet nodig"
"Not Sent / Deleted","Niet verzonden / Verwijderd"
"Numeric","Numeriek"
"Only send to customers who have not written a first review","Verstuur alleen naar klanten die nog geen eerste beoordeling hebben geschreven"
"Opt-out through email","Opt-out via e-mail"
"Order / Review Block","Bestelling / Review Blok"
"Order Number","Bestelnummer"
"Order comments","Bestel reactie"
"Order has been placed in the que","Bestelling is in de winkelmand geplaatst"
"Order id","Bestel id"
"Order not found!","Bestelling niet gevonden!"
"Personal Information","Persoonlijke informatie"
"Please choose rule","Kies alstublieft een regel"
"Please fill in at least one review","Vul alstublieft ten minste 1 beoordeling in"
"Please select item(s)","Selecteer alstublieft item(s)"
"Price Rule","Prijs regel"
"Product Review Reminder","Product Review Reminder"
"Product Types","Product soorten"
"Productpage link hash","Productpagina link hash"
"Products","Producten"
"Products checked by default","Products standaard geactiveerd"
"Reactivate","Heractiveer"
"Reminder Id","Herinneringen Id"
"Remove from exclude list","Verwijder van lijst met uitzonderingen"
"Remove from que","Verwijder uit winkelmand"
"Review","Beoordeling"
"Review Email","Beoordeel e-mail"
"Reviewemail","Beoordelingsemail"
"Reviewemail Coupon Template","Beoordelingsmail coupon template"
"Reviewemail Form","Beoordelingsemail Formulier"
"Reviewemail ID","Beoordelingsmail id"
"Reviewemail Template (first)","Template beoordelingsmail (eerste)"
"Reviewemail Template (second)","Template beoordelingsmail (tweede)"
"Reviewemail had been sent to: %s","Beoordelingsmail is verzonden aan: %s"
"Reviewemail has been deleted from que!","Beoordelingsmail is verwijderd uit winkelwagen!"
"Reviewemail has been sent to: %s","Beoordelingsmail is verzonden aan: %s"
"Reviewemail has been sent!","Beoordelingsmail is verzonden!"
"Reviewemail has not been scheduled","Beoordelingsformulier is niet ingepland"
"Reviewemail has not been sent. Status: %s","Beoordelingsmail is niet verzonden. Status: %s"
"Reviewemail has not yet been scheduled, orderstatus is not qualified","Beoordelingsmail is nog niet ingepland, bestelstatus is niet gekwalificeerd"
"Reviewemail scheduled for: %s","Beoordelingsmail wordt verzonden op: %s"
"Reviewemail sent on: %s","Beoordelingsmail verzonden op: %s"
"Reviewemail was deleted on: %s (not sent!)","Beoordelingsformulier is verwijderd op: %s (niet verzonden!)"
"Reviews","Beoordelingen"
"Reviews: %s review(s)","Beoordelingen: %s beoordeling(en)"
"Reward your customers with a discount code and get even more reviews. Create a Shopping cart price rule with the auto generation function enabled and select the trigger. You may choose to show the discount code on the success page whenever the customer has written a review, or send the discount code through an e-mail after receiving or even after you’ve approved the review in your store. Further personalize this message by editing the coupon description field.<br><br>","Beloon uw klanten met een kortingscode en krijg nog meer beoordelingen. Creeer een winkelwagen prijs regel met de automatische genereer functie aan en selecteer de trigger.<br>U kunt ervoor kiezen om de kortingscode op de succes pagina weer te geven wanneer een klant een beoordeling schrijft, of het zenden van de korting via e-mail of zelfs nadat u de beoordeling heeft goedgekeurd. Maak dit bericht nog persoonlijker door het coupon omschrijving veld aan te passen."
"Schedule After Days","Plan in na dagen"
"Scheduled","Ingepland"
"Scheduled At","Ingepland om"
"Scheduled Emails","Geplande Emails"
"Scheduled emails","Geplande emails"
"Second Email","Tweede Email"
"Second email scheduled for: %s","Tweede email gepland voor: %s"
"Second reviewemail sent on: %s","Tweede beoordelingsemail verzonden op: %s"
"Send BCC to","Verstuur BCC naar"
"Send Email To","Verstuur e-mail naar"
"Send Now!","Verstuur nu!"
"Send Test Email","Stuur Test Email"
"Send a BCC copy","Stuur BCC kopie"
"Send again","Verstuur opnieuw"
"Send review email","Stuur beoordelingsmail"
"Send testemail","Stuur testemail"
"Sent","Verzend"
"Sent & Deleted review emails","Verzonden & verwijderde beoordeling emails"
"Sent History","Verzonden items"
"Sent at","Verstuurd op"
"Sent history","Verzonden items"
"Server Name","Server Naam"
"Shopping Cart Price Rule","Winkelwagen prijs regel"
"Shopreview Block","Winkelbeoordeling Blok"
"Shopreview Intergration","Winkelbeoordeling integratie"
"Static Block","Statisch blok"
"Status","Status"
"Store","Winkel"
"Submit Review","Verstuur beoordeling"
"Success Text","Success Tekst"
"Summary of Your Review","Overzicht van uw beoordeling"
"Testemail sent to %s","Testemail verzonden naar %s"
"Text","Tekst"
"Thank you for your review!","Bedankt voor uw beoordeling!"
"There are %d new product reviews! %s","Er zijn %d nieuwe product beoordelingen! %s"
"There was a problem with coupon generation.","Er was een probleem met een coupon generatie."
"Times Used","Aantal keren gebruikt"
"Title","Titel"
"Total of %d coupons(s) were successfully (re)activated","Totaal zijn er %d coupons(s) succesvol ge(her)activeerd"
"Total of %d coupons(s) were successfully deleted","Totaal zijn er %d coupons(s) succesvol verwijderd"
"Total of %d coupons(s) were successfully extended","Totaal zijn er %d coupons(s) succesvol verlengd"
"Total of %d emails were successfully sent and moved to history!","Totaal zijn er  %d emails succesvol verzonden en verplaatst naar geschiedenis!"
"Total of %d record(s) were successfully moved to history!","Totaal zijn er %d items verplaatst naar geschiedenis!"
"Trigger","Trekker"
"Unable to add %s to exclude list","Niet mogelijk om %s toe te voegen aan uitzonderingen lijst"
"Unable to post the review.","Niet mogelijk om beoordeling te plaatsen."
"Unable to remove %s from exclude list","Niet mogelijk om %s te verwijderen van de uitzonderingen lijst"
"Unable to to remove email from que","Niet mogelijk om email te verwijderen uit rij"
"Unable to update reviewemail","Niet mogelijk om beoordelingsemail te updaten"
"Up sell Block","Up sell blok"
"Updated","Geupdate"
"Use Cron","Gebruik Cron"
"View Order","Bekijk bestelling"
"View Review","Bekijk beoordeling"
"View order","Bekijk bestelling"
"Welcome Block","Welkomst blok"
"Welcome Text","Welkomsttekst"
"Write a review about products purchased","Schrijf een beoordeling over aangeschafte producten"
"Yes, Button: A Custom Link","Ja, knop: een handmatige link"
"Yes, Button: Review Email Page","Ja, knop: Beoordelingsmail pagina"
"Yes, Button: The Product Page","Ja, knop: de productpagina"
"Yes, Button: The Product Review Page","Ja, knop: de product beoordeling pagina"
"Yes, Custom","Ja, handmatig"
"Yes, Only Products","Ja, alleen producten"
"Yes, Trusted Shops","Ja, vertrouwde winkels"
"Yes, content","Ja, inhoud"
"Yes, static block","Ja, statisch blok"
"star","ster"
"stars","sterren"
"You can use the cronjob to send emails automatically.","U kunt de cronjob gebruiken om de emails automatisch te versturen."
"Link to parent product URL in review emails.","Link naar bovenliggende product URL in de emails."
"Add the review to the parent product of the bundle instead of the simple product.","Voeg review toe aan bovenliggend product van de bundel in plaats het simpel product."
"Add the review to the parent product of the grouped product instead of the simple product.","Voeg review toe aan bovenliggend product van de groep in plaats het simpel product."
"Adds a notification toolbar to the admin displaying pending reviews.","Voeg een notificatie regel toe in de admin met daarin wachtende beoordelingen."
"Adds a review email status block to the order view page in the admin.","Voeg een informatie blok toe aan de orderpagina in de back-end om acties uit te voeren omtrent de email herinnering." 
"use {{orderid}} for ordernumber","Gebruik {{orderid}} om het ordernummer op te roepen."
"Schedule email after the order has passed this status","Plan mail in zodra de order deze status heeft bereikt"
"Schedule email to be sent after x-days","Plan email in om te sturen na een x-aantal dagen"
"Do not schedule orders older than x-days","Niet inplannen bij orders ouder dan een x-aantal dagen"
"Hex colorcode","Hex kleurcode"
"See: ""Admin -> Promotion -> Shopping Cart Price Rule""","Zie: ""Admin -> Promoties -> Winkelwagen kortingsregels"""
"Message displayed to the customer. Available variables: {{expiration_date}} & {{coupon_code}}","Bericht wat getoond wordt aan klant. Beschikbare variabelen: {{expiration_date}} & {{coupon_code}}
"If yes, there will be no coupon issues for the shopreview if the customer already has a coupon given for writing a product review.","Indien ja zal er geen shopreview coupon worden gegeven indien er al een productreview is geschreven"
"If yes, all the mails regarding the shopreview will be disabled.","Indien ja zullen alle emails van de shopreview extensie worden gedeactiveerd"